vegID,birdID,broodID,age(d),age_class,Use,avgdbh(cm),maxdbh(cm),basal_area(m^2/ha),canopy_ht(m),sapling_cover(%),%shrub_cover,slope,aspect,beers' aspect,%understory,%midstory,%overstory,dist_canopygap(m),dist_water(m),,Use,"1 = used, 2  = random available, 0 = nest"
FPd7,3,6,7,3,1,65.3,83.8,13.77,23.3,95,15,11,190,0.18,95.2,66.7,85.7,25,3152,,,
Cd12,12,14,12,3,1,31.4,46.2,32.14,24,20,12,24,95,1.64,42.9,76.2,85.7,5,53,,,
FRJd8,4,7,8,3,1,45.8,72.3,22.96,24.3,40,10,4,8,1.8,90.5,71.4,52.4,12,2820,,,
FR3d11,5,7,11,3,1,54.9,68.8,27.55,24.5,30,5,4,44,2,38.1,90.5,52.4,15,2593,,,
SGd7,19,18,7,3,1,36.8,64.7,22.96,25,60,2,28,40,2,57.1,90.5,100.0,12,503,,,
WWd7,17,16,7,3,1,43.5,64.6,20.66,25,6,26,8,185,0.23,9.5,61.9,95.2,3,3143,,,
FR3d8,5,7,8,3,1,42.3,73.3,22.96,25,50,15,4,34,1.98,57.1,90.5,90.5,20,2820,,,
FPd10,3,6,10,3,1,58.5,77.3,9.18,25,30,10,6,64,1.95,76.2,95.2,42.9,5,3214,,,
WWd10,17,16,10,3,1,53.6,75,18.37,25.5,0,2,7,133,1.03,14.3,28.6,85.7,1,3101,,,
PCd8,14,15,8,3,1,39.4,76.4,29.84,26.2,18,4,32,156,0.64,71.4,85.7,90.5,14,213,,,
PCd9,14,15,9,3,1,37,76.4,27.55,26.2,2,7,32,149,0.76,76.2,90.5,81.0,12,221,,,
FPd9,3,6,9,3,1,47.2,78,27.55,26.3,40,7,20,70,1.91,81.0,90.5,95.2,5,3122,,,
Nd11,15,16,11,3,1,36.8,65.3,16.07,26.3,15,75,21,266,0.25,23.8,52.4,95.2,2,3322,,,
Mad9,13,14,9,3,1,42.7,68.3,34.44,27,0,75,26,87,1.74,28.6,52.4,90.5,6,89,,,
FRJd7,4,7,7,3,1,47.7,79,41.32,27.5,25,15,7,16,1.87,47.6,71.4,100.0,10,2934,,,
FPd8,3,6,8,3,1,52.4,72.4,16.07,27.5,50,20,8,103,1.53,66.7,81.0,95.2,5,3020,,,
SGd9,19,18,9,3,1,65.2,85,16.07,27.5,45,55,12,45,2,42.9,19.0,90.5,8,561,,,
BBd12,11,13,12,3,1,63.5,85,34.44,27.5,44,35,18,47,2,52.4,4.8,100.0,7,548,,,
WWd11,17,16,11,3,1,45.8,61,11.48,27.8,10,12,7,156,0.64,0.0,19.0,85.7,3,3114,,,
WWd12,17,16,12,3,1,47,75.7,20.66,27.8,0,0,173,11,1.83,4.8,23.8,100.0,4,3102,,,
FR3d7,5,7,7,3,1,51.7,77.9,36.73,28,40,0,2,34,1.98,71.4,19.0,95.2,6,2934,,,
BBd10,11,13,10,3,1,58.2,62.3,9.18,28,45,35,16,67,1.93,76.2,14.3,100.0,4,590,,,
