,x,number,tree,nest_height,roof,species,bird,AF,habitat,near.magpie,near.other,near.amurfalcon,near.empty,near.water,near.field,near.wetland,near.soil,near.street,near.settlement,prop.field,prop.forest,prop.reed,prop.shrubs,prop.soil,prop.steppe,prop.water,prop.wetland,prop.willowshrubs,slope_percent,slope,aspect,x,number,species,bird,AF,habitat,fire_at_nest,prop.less_burned,prop.often_burned,x,number,species,bird,AF,habitat,TA,NP,PD,LPI,TE,ED,LSI,AREA_MN,AREA_AM,AREA_MD,SHAPE_MN,SHAPE_AM,FRAC_MN,FRAC_AM,PARA_MN,PARA_AM,CIRCLE_MN,CIRCLE_AM,CONTIG_MN,CONTIG_AM,PAFRAC,PROX_MN,ENN_MN,CONTAG,PLADJ,IJI,COHESION,DIVISION,MESH,SPLIT,PR,PRD,SHDI,SIDI,SHEI,SIEI,AI
31,31,MN48,dead,3.1,yes,AF,af,1,Steppe,176.62,176.62,307.7,296.91,232.69,1880.1,380.02,116.03,2657.68,10201.7,0.7,2.37,1.42,2.09,5.33,7.04,3.18,61.59,16.27,0.9,0.56,180,31,MN48,AF,af,1,Steppe,8,5.64,6.56,31,MN48,AF,af,1,Steppe,1961.8125,2624,133.7539,54.911,467450,238.2746,27.462,0.7476,603.5991,0.0625,1.1672,14.0039,1.0342,1.2808,1408.4019,486.7438,0.2626,0.5307,0.1066,0.6817,1.5304,129.1688,80.1336,49.7635,69.5785,62.0832,98.3902,0.6923,603.5991,3.2502,9,0.4588,1.3108,0.5833,0.5966,0.6562,70.3974
32,32,MN45,Quercus,5.4,yes,AF,af,1,Shrubs,378.57,275.13,307.7,122.29,75.78,2165.15,211.81,378.56,2624.29,10222.57,0.56,2.37,1.4,1.95,5.33,6.4,3.53,62.05,16.42,2.2,1.26,296.5,32,MN45,AF,af,1,Shrubs,8,4.32,7.29,32,MN45,AF,af,1,Shrubs,1961.75,2551,130.037,59.4431,449375,229.0684,26.4437,0.769,700.8647,0.0625,1.1587,14.5085,1.0316,1.2834,1411.539,468.3318,0.2442,0.4883,0.1037,0.693,1.5251,181.485,82.9604,50.8608,70.7293,60.7393,98.548,0.6427,700.8647,2.799,9,0.4588,1.2953,0.5777,0.5895,0.6499,71.5623
33,33,MN171,Betula,6.6,yes,AF,af,1,Forest,929.85,333.41,168,351.74,513.54,1784.48,729.39,744.02,1600.44,10348.71,0.85,1,0.99,0.83,27.41,4.58,2.72,49.79,11.83,1.5,0.89,251.5,33,MN171,AF,af,1,Forest,8,20.66,18.08,33,MN171,AF,af,1,Forest,1926.5,1714,88.9696,46.9569,319225,165.7021,19.2741,1.124,508.7224,0.0625,1.1623,9.8757,1.0323,1.2344,1421.9698,341.7856,0.2478,0.5651,0.0996,0.7767,1.5156,133.9262,90.476,53.9873,78.6384,60.7983,98.4049,0.7359,508.7224,3.7869,9,0.4672,1.3665,0.6594,0.6219,0.7418,79.5644
34,34,MN173,Quercus,8.5,unknown,AF,af,1,Shrubs,851.66,191.85,189.23,183.44,444.41,1823,500.81,779.92,1778.27,10498.6,0.55,1.11,1,0.9,24.13,4.71,2.87,52.63,12.1,1.9,1.13,90,34,MN173,AF,af,1,Shrubs,9,16.91,18.05,34,MN173,AF,af,1,Shrubs,1949.5,1836,94.178,49.2722,334025,171.3388,20.0014,1.0618,532.2891,0.0625,1.1585,10.378,1.0318,1.242,1423.3511,352.9367,0.2455,0.5591,0.0992,0.769,1.5098,130.6596,88.5066,53.8142,77.9415,60.779,98.4364,0.727,532.2891,3.6625,9,0.4617,1.3535,0.6476,0.616,0.7286,78.8485
35,35,MN170,Betula,7.8,yes,AF,af,1,Willowshrubs,765.5,182.09,168,209.73,599.96,1766.9,673.23,852.5,1766.54,10516.2,0.45,0.99,0.85,0.79,26.52,4.7,2.67,51.13,11.92,0.7,0.4,135,35,MN170,AF,af,1,Willowshrubs,8,18.81,18.11,35,MN170,AF,af,1,Willowshrubs,1914,1669,87.1996,49.6767,316375,165.2952,19.2214,1.1468,544.6662,0.0625,1.167,10.5398,1.0336,1.2398,1414.442,341.0397,0.255,0.5554,0.104,0.7771,1.514,137.6023,92.8874,54.8665,78.685,58.8394,98.5464,0.7154,544.6662,3.5141,9,0.4702,1.3359,0.6505,0.608,0.7318,79.5993
36,36,MN164,Quercus,7,yes,AF,af,1,Forest,5.77,5.77,422.5,557.88,689.73,1011.59,794.81,343.02,1323.2,11246.23,0,1.02,0.81,0.65,24.03,4.8,2.6,55.09,10.99,0,0,-1,36,MN164,AF,af,1,Forest,9,12.85,17.85,36,MN164,AF,af,1,Forest,1792.5,1603,89.4282,53.56,291825,162.8033,18.3938,1.1182,559.0694,0.0625,1.1545,10.3965,1.0314,1.2462,1416.3316,336.7364,0.2498,0.5661,0.1016,0.7797,1.5042,107.0743,90.5745,53.9399,78.954,63.0561,98.5621,0.6881,559.0694,3.2062,8,0.4463,1.2737,0.6241,0.6125,0.7132,79.8538
37,37,MN163,Salix,2.5,yes,AF,af,1,Shrubs,417.16,417.16,422.5,196.42,284.16,843.89,491.49,1.9,1160.7,11515.79,0,1.13,0.9,0.67,18.51,5.05,2.91,60.05,10.78,2.5,1.44,101.3,37,MN163,AF,af,1,Shrubs,9,8.24,17.89,37,MN163,AF,af,1,Shrubs,1869.1875,1805,96.566,59.043,316425,169.2848,19.4465,1.0356,678.2446,0.0625,1.1455,11.5937,1.0309,1.2627,1424.2726,349.2694,0.2458,0.5224,0.0975,0.7712,1.5054,133.5059,89.8265,54.1304,78.1707,64.0528,98.6921,0.6371,678.2446,2.7559,8,0.428,1.2402,0.5902,0.5964,0.6745,79.0364
38,38,MN161,dead,5,yes,AF,af,1,Shrubs,668.6,668.6,456.99,291.43,234.23,387.2,806.12,15.14,715.44,11910.65,0,1.19,0.99,0.9,16.15,5.3,3.37,61.25,10.86,2.1,1.2,315,38,MN161,AF,af,1,Shrubs,6,7.73,19.13,38,MN161,AF,af,1,Shrubs,1763.375,1774,100.6025,58.191,312625,177.2879,19.7932,0.994,626.2554,0.0625,1.1553,11.1765,1.0313,1.265,1429.1948,365.8609,0.2385,0.551,0.0955,0.7612,1.5249,107.5954,91.33,55.6887,77.1337,60.6883,98.5495,0.6449,626.2554,2.8157,9,0.5104,1.2465,0.5827,0.5673,0.6556,78.0205
39,39,MN116,Quercus,7.8,unknown,no,empty,0,Wetland,438.41,438.41,695.75,805.28,45.87,55.83,99.03,236.82,220.69,4081.59,4.56,4.37,3.61,2.16,8.11,17.35,2.89,36.88,20.06,2.9,1.7,270,39,MN116,no,empty,0,Wetland,8,2.25,0,39,MN116,no,empty,0,Wetland,958.875,1974,205.8662,10.5853,321575,335.367,27.1754,0.4858,25.7764,0.0625,1.2201,4.1303,1.0414,1.1952,1395.0856,686.7944,0.2916,0.6996,0.1173,0.5531,1.5579,20.0911,73.3986,30.4513,57.0753,74.6953,90.4952,0.9731,25.7764,37.1997,9,0.9386,1.7751,0.7784,0.8079,0.8757,58.2772
40,40,MN108,dead,4.5,yes,no,empty,0,Willowshrubs,406.5,406.5,1264.13,8.47,469.6,61.38,323.31,4.82,1.6,3052.97,2.04,3.8,3.38,2.17,5.51,16.6,2.31,40.83,23.37,4,2.33,284,40,MN108,no,empty,0,Willowshrubs,7,3.65,0,40,MN108,no,empty,0,Willowshrubs,1317.625,2363,179.3378,14.2349,411875,312.5889,29.5687,0.5576,50.7852,0.0625,1.2105,5.5172,1.0392,1.2194,1392.1019,639.1044,0.2827,0.6928,0.117,0.5835,1.5511,34.0353,75.9616,35.0982,60.056,70.0744,93.4861,0.9615,50.7852,25.9451,9,0.683,1.653,0.7453,0.7523,0.8384,61.0815
41,41,MN109,dead,4.5,no,no,empty,0,Willowshrubs,403.6,403.6,1261.93,8.47,477.01,60.73,329.2,8.54,4.87,3056.68,2.04,3.79,3.37,2.18,5.53,16.59,2.3,40.81,23.38,4,2.33,284,41,MN109,no,empty,0,Willowshrubs,7,3.64,0,41,MN109,no,empty,0,Willowshrubs,1321.75,2375,179.686,14.4647,414575,313.6561,29.7543,0.5565,61.6644,0.0625,1.2075,6.1065,1.0387,1.2259,1399.3414,641.1954,0.2793,0.687,0.1144,0.5825,1.5516,40.9066,76.6302,35.1102,59.9253,70.2326,94.1523,0.9533,61.6644,21.4346,9,0.6809,1.6496,0.7436,0.7507,0.8365,60.9451
42,42,MN119,dead,8.5,unknown,no,empty,0,Shrubs,367.69,367.69,109.54,805.28,103.81,125.51,140.62,159.54,347.66,4346.23,5.3,4.65,3.16,2.49,10.05,15.29,2.37,33.4,23.29,2.8,1.6,45,42,MN119,no,empty,0,Shrubs,6,2.26,0,42,MN119,no,empty,0,Shrubs,1261.0625,2295,181.9894,9.8478,373900,296.496,32.5509,0.5495,30.4543,0.0625,1.2354,4.4614,1.0422,1.2027,1388.0797,664.3208,0.2916,0.7132,0.1206,0.5672,1.5635,24.4613,72.6491,31.6834,58.48,69.6686,91.5047,0.9759,30.4543,41.4084,8,0.6344,1.701,0.7747,0.818,0.8854,59.518
43,43,MN112,Quercus,5.1,yes,no,empty,0,Soil,5.71,5.71,1610.19,234.44,368.51,260.81,638.48,0,142.31,2786.34,0.92,3.92,3.11,2.09,4.26,17.92,1.98,42.36,23.43,1.5,0.89,18.4,43,MN112,no,empty,0,Soil,3,5.52,0,43,MN112,no,empty,0,Soil,1427.75,2436,170.6181,16.385,439075,307.5293,30.236,0.5861,63.3159,0.0625,1.1995,6.3857,1.0366,1.2311,1395.6307,628.3663,0.2699,0.6867,0.114,0.5905,1.5514,42.0129,77.732,37.1242,60.7271,67.8447,94.5435,0.9557,63.3159,22.5496,9,0.6304,1.5882,0.7303,0.7228,0.8216,61.6886
44,44,MN110,Salix,2.9,yes,no,empty,0,Steppe,231.48,231.48,1454.26,234.44,498.48,28.24,502.18,63.74,67.55,3006.83,1.39,3.82,3.07,2.22,5.54,17.06,2.04,40.86,24,2.8,1.6,135,44,MN110,no,empty,0,Steppe,7,4.11,0,44,MN110,no,empty,0,Steppe,1483.375,2533,170.7592,15.2271,462700,311.9238,31.165,0.5856,61.3396,0.0625,1.2138,6.2618,1.0391,1.2302,1393.2369,636.5214,0.2832,0.6995,0.1159,0.5851,1.5589,36.6658,77.3379,36.0803,60.2174,67.9862,94.3298,0.9586,61.3396,24.183,9,0.6067,1.6264,0.74,0.7402,0.8325,61.1786
45,45,MN127,Ulmus,6.5,unknown,no,empty,0,Wetland,163.13,163.13,202.24,347.16,69.99,374.26,65.7,17.08,99.08,5186.53,6.66,5.4,2.82,3.06,8.75,13.2,2.22,32.96,24.93,5.4,3.13,354.8,45,MN127,no,empty,0,Wetland,4,2.46,0.31,45,MN127,no,empty,0,Wetland,1571.75,3188,202.8312,10.8637,534575,340.1145,34.794,0.493,36.6111,0.0625,1.2187,4.8267,1.0405,1.2052,1393.8922,692.0948,0.2893,0.7192,0.1168,0.5498,1.5651,27.4833,73.5898,28.9413,56.7441,76.4036,91.7448,0.9767,36.6111,42.931,9,0.5726,1.817,0.793,0.827,0.8922,57.6849
46,46,MN126,Betula,7.5,yes,no,empty,0,Forest,459.85,459.85,138.15,347.16,16.47,27.41,16.78,29.43,407.08,4861.25,6.54,5.3,2.84,2.98,8.83,12.76,2.02,32.88,25.84,6.6,3.8,26.5,46,MN126,no,empty,0,Forest,4,2.26,0,46,MN126,no,empty,0,Forest,1636.75,3363,205.4682,5.304,558650,341.3166,35.6451,0.4867,22.7268,0.0625,1.2207,4.0184,1.0409,1.1941,1391.6117,694.1194,0.2885,0.7016,0.1181,0.548,1.5608,16.0926,72.569,28.964,56.6175,75.8517,89.9466,0.9861,22.7268,72.0185,9,0.5499,1.8184,0.7939,0.8276,0.8931,57.5432
47,47,MN80,dead,5,no,no,empty,0,Reed,9.21,9.21,10.5,1053.39,340.55,391.81,200.92,616.43,7.34,1344.98,0.15,4.74,3.9,1.69,9.21,14.38,3.14,44.72,18.06,10.2,5.82,330.9,47,MN80,no,empty,0,Reed,3,41.87,0,47,MN80,no,empty,0,Reed,1686.25,2598,154.0697,21.7902,459825,272.6909,29.0897,0.6491,113.1863,0.0625,1.1916,6.6143,1.0354,1.2307,1396.147,556.4715,0.2658,0.7013,0.1124,0.6358,1.5509,51.5084,75.8064,38.2758,65.2205,69.1472,95.3715,0.9329,113.1863,14.898,9,0.5337,1.6292,0.734,0.7415,0.8258,66.1782
48,48,MN156,Salix,4.7,yes,no,empty,0,Willowshrubs,1150.94,1150.94,987.86,902.6,359.71,482.11,366.6,17.4,1009.73,5195.84,5.43,4.99,2.53,2.93,5.37,11.89,1.57,36.52,28.77,2.5,1.44,281.3,48,MN156,no,empty,0,Willowshrubs,8,2.6,0.12,48,MN156,no,empty,0,Willowshrubs,1958.875,3728,190.3133,12.1658,657700,335.7539,38.1803,0.5254,50.7317,0.0625,1.2157,5.8203,1.039,1.2227,1399.2981,681.7178,0.2772,0.7253,0.1135,0.5568,1.5646,38.2516,73.7369,32.1685,57.3926,72.3226,93.2899,0.9741,50.7317,38.6124,9,0.4594,1.7121,0.7613,0.7792,0.8565,58.2146
49,49,MN32,dead,8.1,unknown,no,empty,0,Forest,534.38,534.38,542,1053.39,216.03,104.31,657.2,877.45,27.33,1931.86,0.05,4.01,3.62,1.66,7.79,12.21,2.74,46.56,21.35,4.4,2.53,333.4,49,MN32,no,empty,0,Forest,1,45.53,0,49,MN32,no,empty,0,Forest,1637.9375,2164,132.1174,21.1127,424900,259.4116,27.3302,0.7569,117.7274,0.0625,1.2051,7.1007,1.0377,1.2424,1388.6816,529.7211,0.2777,0.7,0.117,0.6532,1.5553,63.333,77.507,41.3658,66.8924,64.5332,95.9674,0.9281,117.7274,13.913,9,0.5495,1.5571,0.7118,0.7087,0.8008,67.8639
50,50,MN142,Salix,2.6,no,no,empty,0,Willowshrubs,2043.56,2043.56,1317.62,2479.74,21.46,431.6,141.9,18.62,13.67,7742.57,4.69,4.39,2.61,2.31,9.58,13.45,2.57,36.17,24.23,1.5,0.89,251.5,50,MN142,no,empty,0,Willowshrubs,4,11.67,7.9,50,MN142,no,empty,0,Willowshrubs,1639.4375,2985,182.0746,8.8292,518650,316.3585,33.1914,0.5492,37.5521,0.0625,1.2103,5.1008,1.0382,1.2139,1408.9909,644.3369,0.2718,0.7152,0.1088,0.5811,1.5584,26.8039,76.9965,32.1712,59.7289,73.7903,92.7924,0.9771,37.5521,43.6577,9,0.549,1.7577,0.7757,0.8,0.8727,60.6737
51,51,MN03,Prunus,6.6,unknown,no,empty,0,Wetland,106.23,211.04,1070.77,14.1,94,57.08,98.35,8.13,9.72,3747.85,3.95,5.32,2.89,1.8,4.4,5.98,1.07,52.31,21.02,1.5,0.89,341.5,51,MN03,no,empty,0,Wetland,0,44.36,0,51,MN03,no,empty,0,Wetland,1660.4375,2137,128.701,29.1038,392425,236.3383,29.8788,0.777,172.7898,0.0625,1.1954,8.7917,1.0356,1.2604,1402.8658,529.6496,0.2623,0.697,0.1093,0.6525,1.5505,103.3796,77.7998,45.4441,66.8969,57.4948,96.8505,0.8959,172.7898,9.6096,8,0.4818,1.3566,0.6355,0.6524,0.7263,67.7947
52,52,MN02,Prunus,6.2,yes,no,empty,0,Forest,105.79,206.03,1063.21,14.1,79.99,50.23,85.24,5.03,11.92,3754.26,3.97,5.32,2.88,1.8,4.35,5.97,1.07,51.33,23.26,1.9,1.13,0,52,MN02,no,empty,0,Forest,0,44.32,0,52,MN02,no,empty,0,Forest,1663.8125,2114,127.0576,21.1224,399375,240.0361,30.1086,0.787,117.4707,0.0625,1.2061,7.5331,1.0369,1.2542,1393.1191,535.9077,0.2747,0.685,0.1137,0.6489,1.5547,82.7842,75.1967,45.2429,66.5058,57.5795,96.1724,0.9294,117.4707,14.1636,8,0.4808,1.3563,0.6346,0.6523,0.7253,67.3976
53,53,MN29,Populus,9.5,unknown,no,empty,0,Forest,237.58,289.41,908.81,235.48,7.49,129.34,30.85,5.08,45.53,3912.12,4.43,5.37,2.84,1.81,3.52,5.96,0.88,52.05,23.15,5.9,3.42,335.5,53,MN29,no,empty,0,Forest,2,43.91,0,53,MN29,no,empty,0,Forest,1831.6875,2551,139.2705,28.8361,504000,275.1561,30.4985,0.718,192.7011,0.0625,1.1962,9.4092,1.036,1.2617,1389.1672,560.7125,0.2738,0.6682,0.1155,0.6326,1.5513,112.3687,79.5115,42.3427,64.9555,64.4032,96.8625,0.8948,192.7011,9.5053,9,0.4914,1.4769,0.6648,0.6722,0.748,65.8341
54,54,MN14,Quercus,8.4,no,no,empty,0,Forest,171.88,171.88,241.27,311.2,108,86.87,100.22,67.65,107.02,4984.2,7.85,5.55,2.74,1.67,3.25,4.81,0.8,52.31,21.01,2.1,1.2,315,54,MN14,no,empty,0,Forest,2,51.59,0,54,MN14,no,empty,0,Forest,1840.1875,2633,143.0832,41.4054,521775,283.5445,31.4462,0.6989,327.2389,0.0625,1.1951,12.4543,1.0364,1.2749,1386.0704,577.4683,0.2743,0.6349,0.1175,0.6213,1.5404,188.9282,76.4824,41.1839,63.9082,67.5318,97.683,0.8222,327.2389,5.6234,9,0.4891,1.4886,0.6684,0.6775,0.752,64.7527
55,55,MN18,dead,8.4,no,no,empty,0,Forest,188.18,36.7,286.06,311.2,139.87,63.02,136.04,67.99,96.73,5206.04,9.97,5.63,2.36,1.64,3.1,4.77,0.76,51.87,19.91,3.5,2.04,303.6,55,MN18,no,empty,0,Forest,3,52.82,0,55,MN18,no,empty,0,Forest,1914.6875,2709,141.4852,30.8667,548400,286.4175,32.3647,0.7068,203.8854,0.0625,1.203,10.1099,1.0375,1.2672,1389.7245,583.0717,0.2782,0.6805,0.1167,0.6182,1.5477,111.6066,77.6094,40.6861,63.558,67.7901,96.9712,0.8935,203.8854,9.391,9,0.4701,1.5032,0.6756,0.6841,0.76,64.3816
56,56,MN143,Salix,3,no,no,empty,0,Wetland,1305.65,1305.65,1267.81,6.54,450.78,2.52,447.51,676.22,9.59,8850.96,1.34,3.27,2.74,2.23,1.56,11.35,3.03,52.88,21.6,3.5,2.04,56.3,56,MN143,no,empty,0,Wetland,3,20.14,3.98,56,MN143,no,empty,0,Wetland,1961.75,3382,172.3971,44.9089,592650,302.1027,34.5155,0.5801,403.3862,0.0625,1.1724,14.5056,1.034,1.2786,1414.3554,614.4004,0.2564,0.6,0.104,0.5999,1.5451,184.179,77.835,41.7759,61.6,66.5686,97.9177,0.7944,403.3862,4.8632,9,0.4588,1.434,0.6552,0.6526,0.7371,62.3569
57,57,MN144,Salix,5,no,no,empty,0,Shrubs,1301.55,1301.55,1271.19,6.54,448.8,8.85,453.93,677.06,3.33,8850.01,1.33,3.27,2.73,2.23,1.55,11.34,3.03,52.91,21.61,3.5,2.04,56.3,57,MN144,no,empty,0,Shrubs,3,20.09,3.98,57,MN144,no,empty,0,Shrubs,1961.75,3374,171.9893,43.8671,589050,300.2676,34.3127,0.5814,384.6702,0.0625,1.1708,13.9675,1.0336,1.2753,1417.1503,610.7302,0.2559,0.6074,0.102,0.6014,1.5436,161.7535,78.9079,41.6617,61.8294,67.1342,97.8306,0.8039,384.6702,5.0998,9,0.4588,1.4396,0.6576,0.6552,0.7398,62.5882
58,58,MN145,Salix,4,yes,no,empty,0,Willowshrubs,1256.65,1256.65,1330.71,90.99,471.46,18.63,448.06,586.73,7.12,8940.98,1.34,3.24,2.82,2.22,1.5,11.58,3.07,52.71,21.52,1.9,1.13,0,58,MN145,no,empty,0,Willowshrubs,3,20.55,3.98,58,MN145,no,empty,0,Willowshrubs,1961.75,3389,172.7539,47.0275,595050,303.3261,34.6507,0.5789,439.6906,0.0625,1.1737,15.1756,1.0341,1.2815,1411.811,616.8472,0.2574,0.5878,0.1051,0.5975,1.5425,198.4322,79.2617,41.304,61.447,66.9847,98.0188,0.7759,439.6906,4.4617,9,0.4588,1.4466,0.6607,0.6584,0.7433,62.2051
59,59,MN146,dead,4.3,no,no,empty,0,Wetland,1279.84,1279.84,1460.19,322.04,397.26,26.26,439.38,392.01,148.43,9203.4,1.72,3.12,3.05,2.08,1.74,12.53,3.45,51.67,20.63,1.5,0.89,108.4,59,MN146,no,empty,0,Wetland,6,23.75,3.98,59,MN146,no,empty,0,Wetland,1948.125,3402,174.6295,45.6593,597500,306.7052,34.887,0.5726,413.3262,0.0625,1.1741,14.7701,1.0345,1.2804,1412.9668,623.6766,0.2595,0.6006,0.1043,0.5927,1.5502,170.6369,78.0821,40.156,61.0202,68.4837,97.9269,0.7878,413.3262,4.7133,9,0.462,1.4786,0.6698,0.6729,0.7535,61.787
60,60,MN147,Salix,7.5,no,no,empty,0,Wetland,812.14,812.14,2116.8,623.14,601.78,187.12,667.73,65.97,11.84,9762.37,1.63,3.38,3.08,2.58,0.79,12.45,4.19,51.87,20.02,2.1,1.2,45,60,MN147,no,empty,0,Wetland,5,21.35,3.79,60,MN147,no,empty,0,Wetland,1961.625,3515,179.1882,44.0642,614225,313.1205,35.731,0.5581,385.303,0.0625,1.1866,13.6812,1.0364,1.2727,1411.5055,636.4366,0.2649,0.6138,0.1067,0.5851,1.5513,155.9833,76.3067,40.0552,60.2227,69.1152,97.6616,0.8036,385.303,5.0911,9,0.4588,1.4684,0.667,0.6683,0.7504,60.9596
61,61,MN94,Salix,3.6,no,no,empty,0,Wetland,17.02,493.93,570.23,1828.72,131.21,66.28,29.89,816.1,603.93,7157.65,14.19,4.15,1.22,1.66,16.41,4.02,0.26,43.64,14.45,4,2.33,345.9,61,MN94,no,empty,0,Wetland,3,44.71,0,61,MN94,no,empty,0,Wetland,1961.4375,2280,116.2413,20.7565,466225,237.6956,27.393,0.8603,190.8999,0.0625,1.1939,9.0031,1.036,1.2433,1397.6256,485.5877,0.2697,0.6947,0.1136,0.6824,1.5276,116.4979,82.3022,41.8717,69.6508,67.2975,97.2003,0.9027,190.8999,10.2747,9,0.4588,1.6138,0.7383,0.7345,0.8306,70.5574
62,62,MN149,Salix,6,yes,no,empty,0,Forest,501.59,501.59,2384.05,623.14,140.16,18.63,137.16,393,279.64,10151.49,1.25,3.33,2.71,2.8,0.68,11.99,4.3,54.28,18.66,2.1,1.2,225,62,MN149,no,empty,0,Forest,3,19.25,2.26,62,MN149,no,empty,0,Forest,1961.625,3486,177.7098,49.1015,606650,309.2589,35.3042,0.5627,476.211,0.0625,1.1823,15.2236,1.0352,1.2825,1409.8596,628.7134,0.2607,0.5784,0.1057,0.5898,1.5626,159.4495,75.7848,41.3495,60.7054,68.448,97.9853,0.7572,476.211,4.1192,9,0.4588,1.4328,0.6511,0.6521,0.7325,61.4287
63,63,MN52,Crataegus,2.9,yes,no,empty,0,Wetland,125.2,125.2,318.94,86.86,179.79,1575.52,250.11,19.91,2396.94,9996.22,1.35,2.5,1.4,2.14,5.33,6.83,2.37,60.89,17.2,5.6,3.23,37.8,63,MN52,no,empty,0,Wetland,7,5.73,5.51,63,MN52,no,empty,0,Wetland,1961.8125,2634,134.2636,52.6872,473000,241.1036,27.7746,0.7448,555.7981,0.0625,1.1684,13.2979,1.0332,1.2768,1407.1515,492.4018,0.2573,0.5511,0.1061,0.6773,1.5326,130.4474,84.1794,49.089,69.2249,62.4555,98.2518,0.7167,555.7981,3.5297,9,0.4588,1.3262,0.5907,0.6036,0.6645,70.0499
64,64,MN51,Betula,3.3,yes,no,empty,0,Forest,49.14,49.14,232.87,86.86,199.11,1660.5,299.07,22.24,2460.64,10043.55,1.17,2.46,1.41,2.13,5.33,6.89,2.48,61.05,17.09,5.9,3.42,155.5,64,MN51,no,empty,0,Forest,6,5.71,5.9,64,MN51,no,empty,0,Forest,1961.75,2650,135.0835,54.5527,471200,240.1937,27.6732,0.7403,595.0356,0.0625,1.1672,13.9376,1.0335,1.2802,1414.5029,490.5824,0.2537,0.5346,0.1039,0.6791,1.5309,138.9405,81.4566,49.3454,69.3386,62.1794,98.3617,0.6967,595.0356,3.2969,9,0.4588,1.3204,0.5888,0.6009,0.6624,70.1607
65,65,MN86,Salix,2.7,no,no,empty,0,Willowshrubs,717.48,587.43,863.2,349.07,269.82,1333.87,310.38,14.32,1795.72,9520.89,6.48,1.95,1.17,1.52,7.95,4.81,2.68,58.8,14.65,3.9,2.26,180,65,MN86,no,empty,0,Willowshrubs,5,11.14,8.46,65,MN86,no,empty,0,Willowshrubs,1961.5,2240,114.1983,55.42,421200,214.7336,24.8563,0.8757,617.3882,0.0625,1.1693,13.5519,1.0338,1.2797,1412.2797,439.6635,0.2575,0.5321,0.1052,0.712,1.5246,171.3539,85.2878,48.8738,72.521,63.2473,98.5338,0.6852,617.3882,3.1771,9,0.4588,1.41,0.6189,0.6417,0.6963,73.4236
66,66,MN53,dead,6.2,yes,no,empty,0,Wetland,236.38,236.38,296.91,304.76,486.95,1658.78,588.29,137.49,2407.79,10334.19,0.42,2.47,1.47,2.3,5.03,8.19,2.78,60.31,17.02,2.1,1.2,225,66,MN53,no,empty,0,Wetland,7,6.99,5.78,66,MN53,no,empty,0,Wetland,1961.75,2708,138.04,51.3445,478750,244.0423,28.0986,0.7244,529.957,0.0625,1.1718,12.8157,1.0344,1.2733,1405.5003,498.2796,0.2621,0.5556,0.1084,0.6736,1.5305,133.0417,81.7396,49.0073,68.8575,62.079,98.1302,0.7299,529.957,3.7017,9,0.4588,1.3235,0.5958,0.6023,0.6702,69.6674
67,67,MN89,Salix,3,yes,no,empty,0,Forest,375.97,16.73,278.77,398.01,11.12,1916.79,3.21,411.57,2385.37,9958.18,2.5,2.33,1.32,1.75,5.34,5.62,3.3,61.71,16.12,0,0,-1,67,MN89,no,empty,0,Forest,10,5.31,7.35,67,MN89,no,empty,0,Forest,1961.75,2457,125.2453,59.682,437425,222.9769,25.7704,0.7984,706.7383,0.0625,1.1623,14.4956,1.0326,1.282,1410.1422,456.1488,0.2526,0.4905,0.1043,0.7002,1.5281,186.3288,83.0014,50.2111,71.4907,61.8047,98.5949,0.6397,706.7383,2.7758,9,0.4588,1.3359,0.5857,0.608,0.6589,72.3603
68,68,MN38,Salix,4.1,yes,no,empty,0,Forest,1817.01,361.7,1550.76,1828.72,261.34,418.29,158.38,4.59,53.1,8801.44,7.38,1.38,0.93,1.04,33.13,4.04,0.89,39.93,11.27,6.4,3.69,237.5,68,MN38,no,empty,0,Forest,4,43.92,6.98,68,MN38,no,empty,0,Forest,1957.8125,1722,87.9553,29.411,319200,163.0391,19.1638,1.1369,339.8305,0.0625,1.1712,6.6122,1.0329,1.2037,1402.9307,336.2937,0.2545,0.6168,0.1097,0.7783,1.4997,85.1556,88.3881,50.3327,78.9816,68.6947,97.3829,0.8264,339.8305,5.7611,9,0.4597,1.4947,0.7112,0.6803,0.8002,79.9454
69,69,MN87,dead,2.7,yes,no,empty,0,Soil,769.77,462,669.58,349.07,110.46,1626.91,107.92,0,1964.87,9865.87,4.08,1.98,1.18,1.5,7.47,4.96,3.14,60.52,15.17,5.6,3.2,315,69,MN87,no,empty,0,Soil,9,7.77,9.44,69,MN87,no,empty,0,Soil,1961.6875,2246,114.4933,57.1415,412275,210.1634,24.3535,0.8734,652.1252,0.0625,1.1676,13.2506,1.034,1.276,1413.6018,430.5222,0.2571,0.517,0.1052,0.7178,1.5193,178.6623,86.4884,50.2164,73.0924,61.8956,98.5303,0.6676,652.1252,3.0081,9,0.4588,1.3718,0.6025,0.6243,0.6778,73.9919
