,x,number,tree,nest_height,roof,species,bird,AF,habitat,near.magpie,near.other,near.amurfalcon,near.empty,near.water,near.field,near.wetland,near.soil,near.street,near.settlement,prop.field,prop.forest,prop.reed,prop.shrubs,prop.soil,prop.steppe,prop.water,prop.wetland,prop.willowshrubs,slope_percent,slope,aspect,x,number,species,bird,AF,habitat,fire_at_nest,prop.less_burned,prop.often_burned,x,number,species,bird,AF,habitat,TA,NP,PD,LPI,TE,ED,LSI,AREA_MN,AREA_AM,AREA_MD,SHAPE_MN,SHAPE_AM,FRAC_MN,FRAC_AM,PARA_MN,PARA_AM,CIRCLE_MN,CIRCLE_AM,CONTIG_MN,CONTIG_AM,PAFRAC,PROX_MN,ENN_MN,CONTAG,PLADJ,IJI,COHESION,DIVISION,MESH,SPLIT,PR,PRD,SHDI,SIDI,SHEI,SIEI,AI
11,11,MN125,Tilia,6.4,unknown,AF,af,1,Forest,533.37,533.37,29.16,138.15,27.91,51.98,23.7,106.96,462.56,4729.83,6.15,5.13,2.84,2.86,8.84,13.16,2.01,32.94,26.05,2.9,1.7,0,11,MN125,AF,af,1,Forest,7,2.26,0,11,MN125,AF,af,1,Forest,1616,3226,199.6287,8.002,547450,338.7686,35.1615,0.5009,29.1221,0.0625,1.2241,4.4671,1.0406,1.2007,1393.6835,689.078,0.285,0.7028,0.1169,0.5517,1.5629,20.3864,72.6065,29.5787,56.9326,74.957,91.0529,0.982,29.1221,55.4904,9,0.5569,1.8048,0.7907,0.8214,0.8895,57.8618
12,12,MN78,dead,7.8,yes,AF,af,1,Reed,1.72,1.72,309.89,10.5,350.93,382.18,192.83,613.02,2.38,1342.15,0.14,4.73,3.91,1.69,9.22,14.37,3.15,44.76,18.04,7.1,4.08,326.3,12,MN78,AF,af,1,Reed,3,41.94,0,12,MN78,AF,af,1,Reed,1686.625,2528,149.8851,33.4507,457700,271.3703,28.9605,0.6672,208.2453,0.0625,1.1957,8.9003,1.0371,1.2477,1399.3534,553.8279,0.2723,0.6933,0.1122,0.6383,1.554,83.7208,77.045,38.462,65.3858,69.3778,96.7329,0.8765,208.2453,8.0992,9,0.5336,1.6226,0.7322,0.7385,0.8237,66.3377
13,13,MN131,Salix,5.9,yes,AF,af,1,Wetland,1288.75,132.42,1013.83,1283.29,128.17,563.07,174.9,246.47,1288.91,2515.82,0.66,3.33,2.66,1.7,3.06,13.14,1.11,49.37,24.96,4.9,2.83,126.8,13,MN131,AF,af,1,Wetland,4,26.87,0,13,MN131,AF,af,1,Wetland,1930.75,2572,133.2125,33.0474,532600,275.8514,31.4176,0.7507,236.116,0.0625,1.2028,10.6821,1.0361,1.2747,1405.4087,562.2427,0.265,0.6797,0.1091,0.6337,1.565,150.4904,79.8101,43.8291,64.8598,60.2409,97.2863,0.8777,236.116,8.1771,9,0.4661,1.4282,0.6725,0.65,0.7565,65.6911
14,14,MN24,dead,6.4,yes,AF,af,1,Forest,8.12,8.12,1222.28,542,246.15,43.01,917.28,872.1,26.34,2457.77,0.67,3.39,3.59,1.6,7.23,9.94,2.09,50.1,21.4,3.1,1.79,108.4,14,MN24,AF,af,1,Forest,2,44.22,0,14,MN24,AF,af,1,Forest,1665.75,2061,123.7281,24.3246,412575,247.6812,26.3379,0.8082,152.2931,0.0625,1.1971,7.968,1.0359,1.2515,1393.1355,506.1984,0.2731,0.6859,0.1132,0.668,1.5536,74.087,77.9936,43.6242,68.3626,61.4254,96.6548,0.9086,152.2931,10.9378,9,0.5403,1.5144,0.6858,0.6892,0.7715,69.3595
15,15,MN50,Salix,5.7,yes,AF,af,1,Willowshrubs,1170.24,1090.28,1013.83,1314.42,112.78,870.4,109.49,287.76,1096.34,3246.53,0.87,4.96,2.61,2.14,2.7,8.45,0.79,49.41,28.06,1.9,1.13,180,15,MN50,AF,af,1,Willowshrubs,6,29.46,0,15,MN50,AF,af,1,Willowshrubs,1961.5625,2728,139.0728,28.8705,562050,286.5318,32.7915,0.719,188.6681,0.0625,1.2019,9.8409,1.0364,1.2698,1394.8909,583.2595,0.2719,0.6929,0.1138,0.6193,1.5569,108.4302,77.8019,43.5417,63.5463,59.8647,96.87,0.9038,188.6681,10.3969,9,0.4588,1.4191,0.666,0.6458,0.7492,64.3544
16,16,MN138,Betula,5.6,unknown,AF,af,1,Shrubs,2141.39,951.51,962.1,2347.9,334.34,466.07,111.71,379.24,2261.79,5244.94,4.63,5.21,1.68,2.82,1.94,7.31,0.77,46.98,28.65,1.9,1.13,90,16,MN138,AF,af,1,Shrubs,7,8.44,0,16,MN138,AF,af,1,Shrubs,1961.375,2883,146.9887,41.8648,602900,307.3864,35.093,0.6803,359.0506,0.0625,1.1879,15.8312,1.0346,1.2993,1412.0098,624.9697,0.2602,0.6397,0.1055,0.5942,1.5607,238.0112,79.445,40.7967,60.9394,62.3975,98.0991,0.8169,359.0506,5.4627,9,0.4589,1.4809,0.6847,0.674,0.7702,61.7293
17,17,MN141,Salix,7,yes,AF,af,1,Steppe,2567.23,2489.49,2598.15,1271.19,233.2,610.29,109.23,210.47,5.45,7910.54,3.13,3.31,2.48,1.93,4.83,12.38,2.19,46.29,23.44,0.9,0.56,180,17,MN141,AF,af,1,Steppe,9,17.49,6.25,17,MN141,AF,af,1,Steppe,1944.5,3336,171.5608,35.7193,598175,307.6241,35.0241,0.5829,262.1109,0.0625,1.1862,11.8364,1.0353,1.2644,1420.9948,625.5336,0.2563,0.6608,0.1021,0.5937,1.5562,136.9341,78.6972,37.9756,60.9042,67.9245,97.2632,0.8652,262.1109,7.4186,9,0.4628,1.5702,0.7078,0.7146,0.7963,61.7209
18,18,MN136,Quercus,7.9,yes,AF,af,1,Forest,1789.79,136.16,664.51,2769.15,134.59,154.21,315.23,1167.35,1509.12,6202.68,7.96,5.09,1.47,2.64,0.84,5.52,1.28,49.37,25.83,1.5,0.89,18.4,18,MN136,AF,af,1,Forest,7,12.3,0.23,18,MN136,AF,af,1,Forest,1961.375,2777,141.5843,44.4044,594975,303.3459,34.6465,0.7063,397.8932,0.0625,1.2018,16.1217,1.0367,1.3011,1410.0844,616.8887,0.2651,0.6277,0.1075,0.5998,1.5674,242.5027,80.8746,41.5101,61.4445,62.7406,98.1768,0.7971,397.8932,4.9294,9,0.4589,1.4654,0.6769,0.6669,0.7615,62.2275
19,19,MN08,Populus,12.6,unknown,AF,af,1,Forest,362.51,56.68,315.41,241.27,18.94,187.75,11.17,7.03,9.63,4814.28,7.27,5.63,2.75,1.67,2.09,5.23,0.78,53.05,21.53,1.9,1.13,270,19,MN08,AF,af,1,Forest,2,49.39,0,19,MN08,AF,af,1,Forest,1877.0625,2724,145.1204,19.1356,540475,287.9366,32.2637,0.6891,125.8339,0.0625,1.203,8.1587,1.0368,1.2584,1385.2813,586.1552,0.276,0.694,0.118,0.6154,1.5465,70.1509,78.0426,41.6387,63.3653,66.9581,96.0967,0.933,125.8339,14.917,9,0.4795,1.4608,0.6605,0.6649,0.743,64.1785
20,20,MN62,Quercus,5,yes,AF,af,1,Forest,413.9,253.91,2.75,288.8,18.66,149.22,25.34,149.28,273.17,5011.95,9.01,5.71,2.43,1.61,1.55,5.11,0.73,52.95,20.91,6.2,3.58,288.4,20,MN62,AF,af,1,Forest,3,49.12,0,20,MN62,AF,af,1,Forest,1944.5625,2763,142.0885,23.0868,558200,287.0569,32.7479,0.7038,164.1349,0.0625,1.2028,9.5773,1.0377,1.2676,1388.103,584.296,0.2795,0.6856,0.1173,0.6174,1.5452,100.3027,76.5096,41.8883,63.4815,66.975,96.7565,0.9156,164.1349,11.8473,9,0.4628,1.453,0.6601,0.6613,0.7426,64.2724
